translationid,page link (tr),page title (tr),page link (en),page title (en)
164470,https://tr.wikipedia.org/?curid=1021892,1988 Avrupa Futbol Şampiyonası elemeleri,UEFA Euro 1988 qualifying
228259,https://tr.wikipedia.org/?curid=1046395,Selena,Selena
273152,https://tr.wikipedia.org/?curid=1060448,Kadın hareketi,Feminist movement
273145,https://tr.wikipedia.org/?curid=107611,Kedi balığı,Catfish
148739,https://tr.wikipedia.org/?curid=11090,Evrim,Evolution
274156,https://tr.wikipedia.org/?curid=11633,Yörünge,Orbit
189058,https://tr.wikipedia.org/?curid=1174544,The Walking Dead (dizi),The Walking Dead (TV series)
114982,https://tr.wikipedia.org/?curid=118471,Carmela Corleone,Carmela Corleone
418215,https://tr.wikipedia.org/?curid=12137,Çin,China
156853,https://tr.wikipedia.org/?curid=12926,Elektron,Electron
388301,https://tr.wikipedia.org/?curid=1335269,Argüman,Argument
122936,https://tr.wikipedia.org/?curid=1343905,Türk Hava Yolları,Turkish Airlines
305325,https://tr.wikipedia.org/?curid=136846,Arabellek aşımı,Buffer overflow
154521,https://tr.wikipedia.org/?curid=13788,Elektron dizilimi,Electron configuration
105042,https://tr.wikipedia.org/?curid=13855,İstanbul,Istanbul
133198,https://tr.wikipedia.org/?curid=1392173,Tesla bobini,Tesla coil
207930,https://tr.wikipedia.org/?curid=1420773,Bitcoin,Bitcoin
306677,https://tr.wikipedia.org/?curid=1420773,Bitcoin,Bitcoin
271111,https://tr.wikipedia.org/?curid=1423248,Alphabet tarafından satın alınan şirketler listesi,List of mergers and acquisitions by Alphabet
271387,https://tr.wikipedia.org/?curid=1423248,Alphabet tarafından satın alınan şirketler listesi,List of mergers and acquisitions by Alphabet
272026,https://tr.wikipedia.org/?curid=1423248,Alphabet tarafından satın alınan şirketler listesi,List of mergers and acquisitions by Alphabet
272592,https://tr.wikipedia.org/?curid=1423248,Alphabet tarafından satın alınan şirketler listesi,List of mergers and acquisitions by Alphabet
171126,https://tr.wikipedia.org/?curid=1429626,Osmanlı İmparatorluğu,Ottoman Empire
272046,https://tr.wikipedia.org/?curid=1438784,MDNA,MDNA (album)
274014,https://tr.wikipedia.org/?curid=1464056,Ariana Grande,Ariana Grande
222796,https://tr.wikipedia.org/?curid=1468226,"All Is Violent, All Is Bright","All Is Violent, All Is Bright"
187609,https://tr.wikipedia.org/?curid=1468413,Şapkacı,Hatter (Alice's Adventures in Wonderland)
139057,https://tr.wikipedia.org/?curid=14685,Feminist ilahiyat,Feminist theology
139685,https://tr.wikipedia.org/?curid=1469481,Takson yazarı zoologlar listesi,List of authors of names published under the ICZN
272574,https://tr.wikipedia.org/?curid=14835,Bozcaada,Tenedos
138138,https://tr.wikipedia.org/?curid=1501,Doğal sayılar,Natural number
229738,https://tr.wikipedia.org/?curid=15304,Davud,David
297863,https://tr.wikipedia.org/?curid=1535838,Video Games,Video Games (song)
150311,https://tr.wikipedia.org/?curid=1549534,Gömülü sistem,Embedded system
405763,https://tr.wikipedia.org/?curid=155771,İnsan dişi,Human tooth
132700,https://tr.wikipedia.org/?curid=1588199,Türkiye Türkmenleri,Turkoman (ethnonym)
287383,https://tr.wikipedia.org/?curid=1605641,Bilgi teknolojisi,Information technology
312875,https://tr.wikipedia.org/?curid=1626198,Edward Dmytryk,Edward Dmytryk
134469,https://tr.wikipedia.org/?curid=1631953,Rihanna 777 Documentary... 7Countries7Days7Shows,Rihanna 777 Documentary... 7Countries7Days7Shows
418132,https://tr.wikipedia.org/?curid=1672902,"Bismarck, Kuzey Dakota","Bismarck, North Dakota"
192315,https://tr.wikipedia.org/?curid=1678578,Beynin yüzde onunun kullanıldığı efsanesi,Ten percent of the brain myth
224907,https://tr.wikipedia.org/?curid=168020,Rizobiyum,Rhizobium
191979,https://tr.wikipedia.org/?curid=1680329,Lee Donghae,Lee Donghae
243172,https://tr.wikipedia.org/?curid=1720917,Türk bilim insanları listesi,List of Turkish scientists
154396,https://tr.wikipedia.org/?curid=173510,Atom çekirdeği,Atomic nucleus
383013,https://tr.wikipedia.org/?curid=173749,Meryem Ana Evi,House of the Virgin Mary
160898,https://tr.wikipedia.org/?curid=1741849,Mateo Kovačić,Mateo Kovačić
224417,https://tr.wikipedia.org/?curid=1744673,İkincil metabolit,Secondary metabolite
